info: Apr-24-2023 23:03:23: 	undefined
info: Apr-24-2023 23:04:46: 	undefined
info: Apr-24-2023 23:05:00: 	undefined
info: Apr-24-2023 23:05:31: 	undefined
info: Apr-24-2023 23:05:48: 	undefined
info: Apr-24-2023 23:06:15: 	undefined
error: Apr-24-2023 23:06:17: 	500 - undefined - Expected ConnectionOpenOk; got <ConnectionClose channel:0> - /v1/api/send - POST - ::1
info: Apr-24-2023 23:06:35: 	undefined
info: Apr-24-2023 23:06:53: 	undefined
error: Apr-24-2023 23:06:54: 	500 - undefined - Expected ConnectionOpenOk; got <ConnectionClose channel:0> - /v1/api/send - POST - ::1
error: Apr-25-2023 19:36:51: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:36:58: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:44:21: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:45:27: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:47:31: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:47:32: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:47:34: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:49:51: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails?sent_date=test%40testmail.com - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:51:04: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails?start_date=2023-04-10&end_date=2023-04-24&email=test%40testmail.com - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:53:34: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails?sent_date=2023-04-24 - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:54:07: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails?sent_date=2023-04-24 - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:54:08: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails?sent_date=2023-04-24 - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:54:09: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails?sent_date=2023-04-24 - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:59:25: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails?emails=test%40testmail.com%2Ctest2%40testmail.com - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:59:31: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails?emails=test%40testmail.com%2Ctest2%40testmail.com - GET - ::ffff:127.0.0.1
error: Apr-25-2023 19:59:32: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails?emails=test%40testmail.com%2Ctest2%40testmail.com - GET - ::ffff:127.0.0.1
error: Apr-25-2023 20:00:18: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails?emails=test%40testmail.com%2Ctest2%40testmail.com - GET - ::ffff:127.0.0.1
error: Apr-25-2023 20:01:13: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails?emails=test%40testmail.com%2Ctest2%40testmail.com - GET - ::ffff:127.0.0.1
error: Apr-25-2023 20:02:26: 	500 - undefined - Cannot read properties of undefined (reading 'length') - /v1/api/emails?emails=test%40testmail.com%2Ctest2%40testmail.com - GET - ::ffff:127.0.0.1
